000001,22/3/2021,S/. 378.0,S/. 2478.0,11111111,Vigente
000002,22/3/2021,S/. 63.0,S/. 413.0,22222222,Vigente
000003,22/3/2021,S/. 496.8,S/. 3256.8,11111111,Vigente
000004,22/3/2021,S/. 90.0,S/. 590.0,22222222,Vigente
000005,22/3/2021,S/. 216.0,S/. 1416.0,22222222,Vigente
000006,22/3/2021,S/. 216.0,S/. 1416.0,22222222,Vigente
000007,22/3/2021,S/. 45.0,S/. 295.0,33333333,Vigente
000008,22/3/2021,S/. 90.0,S/. 590.0,11111111,Vigente
000009,22/3/2021,S/. 90.0,S/. 590.0,33333333,Vigente
0000010,22/3/2021,S/. 9.0,S/. 59.0,CC,Vigente
0000011,22/3/2021,S/. 45.0,S/. 295.0,22222222,Vigente
0000012,22/3/2021,S/. 45.0,S/. 295.0,22222222,Vigente
0000013,22/3/2021,S/. 126.0,S/. 826.0,22222222,Vigente
0000014,22/3/2021,S/. 90.0,S/. 590.0,11111111,Vigente
0000015,22/3/2021,S/. 90.0,S/. 590.0,22222222,Vigente
0000016,22/3/2021,S/. 45.0,S/. 295.0,11111111,Vigente
0000017,22/3/2021,S/. 45.0,S/. 295.0,33333333,Vigente
0000018,22/3/2021,S/. 90.0,S/. 590.0,33333333,Vigente
0000019,22/3/2021,S/. 45.0,S/. 295.0,44444444,Vigente
0000020,22/3/2021,S/. 45.0,S/. 295.0,33333333,Vigente
